name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,player_id,club_id,country_of_birth,city_of_birth
andrey,28,2003-06-11,20,,Brazil,Midfield - Defensive Midfield,,2024-01-09,,,1074481,3197,,
luis oyama,5,1997-01-30,27,1.71,Brazil,Midfield - Defensive Midfield,right,2024-01-01,2024-12-31,,555277,3197,Brazil,São José do Rio Preto
willian oliveira,29,1993-05-16,31,1.79,Brazil,Midfield - Defensive Midfield,right,2024-01-11,2024-12-31,,252900,3197,Brazil,Junqueirópolis
diego caito,22,2004-06-07,19,1.8,Brazil,Defender - Right-Back,right,2024-01-15,2024-12-31,,1092620,3197,Brazil,São Paulo
felipe,94,1994-04-10,30,1.84,Brazil,Midfield - Defensive Midfield,right,2023-07-20,2024-12-31,,508930,3197,Brazil,Maranguape
fellipe bastos,14,1990-02-01,34,1.78,Brazil,Midfield - Central Midfield,right,2024-03-27,,,31127,3197,Brazil,Rio de Janeiro
meritao,5,1994-06-23,29,1.86,Brazil,Midfield - Defensive Midfield,left,2024-01-25,2024-12-31,,646432,3197,Brazil,Monte Alto
maguinho,0,1992-01-06,32,1.75,Brazil,Defender - Right-Back,right,2024-01-16,2024-12-31,,350766,3197,Brazil,Dores do Turvo
xavier,0,2004-02-20,20,1.74,Brazil,Defender - Left-Back,left,,,,989591,3197,,
bruno santos,13,1993-02-07,31,1.82,Brazil,Defender - Right-Back,right,2024-01-04,2025-05-31,,333633,3197,Brazil,Rio de Janeiro
hugo,46,1997-08-29,26,1.79,Brazil,Defender - Left-Back,left,2024-01-11,2026-12-31,,730708,3197,Brazil,Arapiraca
sander,6,1990-10-03,33,1.77,Brazil,Defender - Left-Back,left,2023-01-01,2024-12-31,,353722,3197,Brazil,Corumbá de Goiás
da silva,0,2001-02-07,23,1.92,Brazil,Defender - Centre-Back,right,2024-01-19,,,863104,3197,Brazil,Goiânia
daniel nolasco,0,2004-12-26,19,1.88,Brazil,Defender - Centre-Back,right,,2026-06-30,,1092622,3197,Brazil,Luziânia
mina,0,2003-03-12,21,1.87,Brazil,Defender - Centre-Back,right,2024-04-01,,,1074478,3197,Brazil,Ceilândia
eduardo thuram,0,1997-10-07,26,1.89,Brazil,Defender - Centre-Back,left,2024-04-18,,,737098,3197,Brazil,Japeri
sidimar,34,1992-07-09,31,1.85,Brazil,Defender - Centre-Back,right,2022-04-29,2024-12-31,,129119,3197,Brazil,São José do Cedro
yan souto,3,2001-10-05,22,1.88,Brazil,Defender - Centre-Back,right,2022-03-08,2024-12-31,,979629,3197,Brazil,Campo Grande
edutm,0,2000-06-16,23,1.85,Brazil,Defender - Centre-Back,right,2024-01-01,2024-12-31,,371250,3197,Brazil,Belo Horizonte
matheus alves,0,1994-12-15,29,1.9,Brazil,Goalkeeper,right,2024-01-12,,,363772,3197,Brazil,Brazlândia
bruno melo,26,1992-10-26,31,1.83,Brazil,Defender - Centre-Back,left,2024-02-02,2024-12-31,,538230,3197,Brazil,Paracuru
marcelo rangel,0,1988-05-17,36,1.86,Brazil,Goalkeeper,right,2024-01-01,,,412610,3197,Brazil,Marechal Cândido Rondon
ronald,0,2002-08-10,21,1.67,Brazil,Attack,right,2023-02-07,,,923256,28022,,
heron,34,2000-08-17,23,1.86,Brazil,Defender - Centre-Back,left,2024-01-18,2024-12-31,,697401,3197,Brazil,Rio de Janeiro
ezequiel oliveira,0,2003-06-13,20,1.85,Brazil,Goalkeeper,left,2024-04-01,2024-11-30,,689579,3197,Brazil,Pouso Alegre
lucas halter,3,2000-05-02,24,1.88,Brazil,Defender - Centre-Back,right,2024-01-11,2027-12-31,,468302,3197,Brazil,Salto
tadeu,23,1992-02-04,32,1.84,Brazil,Goalkeeper,right,2020-01-01,2026-12-31,,258367,3197,Brazil,Joaquim Távora
derik lacerda,22,1999-09-27,24,1.91,Brazil,Attack - Centre-Forward,left,2024-01-15,2028-12-31,,700933,28022,Brazil,Rio de Janeiro
isidro pitta,9,1999-08-14,24,1.83,Paraguay,Attack - Centre-Forward,right,2023-01-01,2026-12-31,,675178,28022,Paraguay,Asunción
jadson,0,2005-08-10,18,,Brazil,Attack - Right Winger,,,,,1094414,28022,,
deyverson,16,1991-05-08,33,1.87,Brazil,Attack - Centre-Forward,left,2022-08-05,2024-12-31,adidas,243541,28022,Brazil,Santa Margarida
jonathan cafu,7,1991-07-10,32,1.75,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,347100,28022,Brazil,Piracicaba
emerson negueba,0,2000-11-24,23,1.75,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,858495,28022,Brazil,Boqueirão
wellington silva,37,1993-01-06,31,1.7,Brazil,Attack - Right Winger,right,2024-01-18,,,121990,28022,Brazil,Rio de Janeiro
iury castilho,7,1995-09-06,28,1.85,Brazil,Attack - Centre-Forward,right,2023-07-26,2024-12-31,,366450,28022,Brazil,Rio de Janeiro
gabryel freitas,0,2002-10-28,21,1.68,Brazil,Attack - Left Winger,right,2022-08-19,2026-12-31,,973567,28022,Brazil,Santana de Parnaíba
pablinho,82,2003-09-20,20,1.72,Brazil,Attack - Left Winger,right,2024-02-22,,,1093320,28022,,
nicolas quagliata,68,1999-06-05,24,1.72,Uruguay,Attack - Left Winger,right,2023-01-01,2026-06-30,,733083,28022,Uruguay,Montevideo
clayson,25,1995-03-19,29,1.66,Brazil,Attack - Left Winger,right,2023-07-03,2025-12-31,,392809,28022,Brazil,Botucatu
pablo ceppelini,10,1991-09-11,32,1.79,Uruguay,Midfield - Attacking Midfield,right,2024-01-27,2024-12-31,,159773,28022,Uruguay,Montevideo
denilson,27,2001-03-23,23,1.8,Brazil,Midfield - Central Midfield,right,2023-01-13,2027-12-31,,808507,28022,Brazil,Nazaré do Piauí
vinicius boff,0,1999-02-10,25,1.73,Brazil,Midfield - Attacking Midfield,left,2024-01-03,2024-06-30,,982672,28022,Brazil,Rondonópolis
luiz felipe,17,2004-08-07,19,1.78,Brazil,Midfield - Central Midfield,,2024-01-19,,,1092749,28022,,
lucas cardoso,32,2000-08-03,23,1.89,Brazil,Midfield - Attacking Midfield,right,2024-02-14,2024-12-31,,931076,28022,Brazil,Poxoréu
rafael gava,8,1993-05-20,31,1.78,Brazil,Midfield - Attacking Midfield,right,2024-04-17,,,411563,28022,Brazil,Americana
calebe costa,0,2003-06-07,20,1.87,Brazil,Midfield - Defensive Midfield,right,2024-04-15,,,1033501,28022,Brazil,Lages
rodriguinho,0,1988-03-27,36,1.77,Brazil,Midfield - Attacking Midfield,right,2023-04-05,,,77059,28022,Brazil,Natal
marco antonio,0,2003-05-17,21,,Brazil,Midfield,,2024-05-07,,,1075067,28022,,
fernando sobral,88,1994-12-17,29,1.78,Brazil,Midfield - Central Midfield,right,2023-01-01,2026-12-31,,350342,28022,Brazil,Sobral
victor yan,0,2001-04-09,23,1.8,Brazil,Midfield - Central Midfield,right,2024-01-23,2024-06-30,,432160,28022,Brazil,Taboão da Serra
raniele,14,1996-12-31,27,1.84,Brazil,Midfield - Defensive Midfield,right,2024-01-01,2028-12-31,,546530,28022,Brazil,Baixa Grande
ronald,6,1997-06-18,26,1.71,Brazil,Midfield - Defensive Midfield,right,2024-04-18,2024-12-31,,688684,28022,Brazil,Belford Roxo
lucas mineiro,30,1996-02-24,28,1.88,Brazil,Midfield - Defensive Midfield,left,2024-01-01,2026-12-31,,432958,28022,Brazil,Belo Horizonte
ricardo cerqueira,0,2002-12-29,21,1.84,Brazil,Defender - Right-Back,right,2023-01-20,,,1066523,28022,Brazil,Santanópolis
filipe augusto,5,1993-08-12,30,1.83,Brazil,Midfield - Defensive Midfield,left,2023-02-24,2024-12-31,,212899,28022,Brazil,Itambé
pktm,14,1994-07-05,29,1.81,Brazil,Defender - Left-Back,left,2024-01-11,2024-12-31,,373192,28022,Brazil,Madre de Deus
matheus alexandre,2,1999-04-07,25,1.88,Brazil,Defender - Right-Back,right,2023-01-01,2025-12-31,,617687,28022,Brazil,Marília
juan pablo,63,2002-04-25,22,1.79,Brazil,Defender - Left-Back,left,2023-04-14,2024-12-31,,933879,28022,Brazil,Nova Lima
mateusinho,0,1998-10-07,25,1.75,Brazil,Defender - Right-Back,right,2023-07-31,,,870778,28022,Brazil,Magé
vitao,0,2000-09-17,23,1.94,Brazil,Defender - Centre-Back,right,2024-01-11,2024-12-31,,982039,28022,Brazil,Cuiabá
rikelme,20,2003-07-16,20,1.84,Brazil,Defender - Left-Back,left,2023-01-01,2025-12-31,,862358,28022,Brazil,Cuiabá
renan,0,2004-05-18,20,1.85,Brazil,Defender - Centre-Back,left,2023-02-01,,,1095384,28022,Brazil,Santos
allyson,3,1990-10-23,33,1.84,Brazil,Defender - Centre-Back,right,2023-04-07,2024-12-31,,390695,28022,Brazil,São Paulo
marllon,4,1992-04-16,32,1.86,Brazil,Defender - Centre-Back,right,2021-03-08,2024-12-31,,166032,28022,Brazil,Rio de Janeiro
joao maranini,0,2002-07-20,21,1.88,Brazil,Defender - Centre-Back,both,2023-01-01,2024-12-31,,999797,28022,Brazil,Cuiabá
uendel,0,1988-10-08,35,1.79,Brazil,Defender - Left-Back,left,2024-01-01,,,74747,28022,Brazil,Araranguá
alan empereur,33,1994-03-10,30,1.86,Brazil,Defender - Centre-Back,left,2021-09-01,2024-12-31,adidas,169179,28022,Brazil,Ipatinga
peruchi,0,2003-06-09,20,1.9,Brazil,Goalkeeper,right,2024-02-06,,,996695,28022,Brazil,Curitiba
vinicius barreta,0,1999-04-16,25,1.9,Brazil,Goalkeeper,right,2024-01-01,,,530392,28022,Brazil,Lages
joao carlos,0,1988-04-06,36,1.91,Brazil,Goalkeeper,right,2024-01-01,2024-11-30,,68408,28022,Brazil,Paranavaí
maximiliano silvera,11,1997-09-05,26,1.76,Uruguay,Attack - Centre-Forward,right,2024-01-16,2025-12-31,,365827,221,Uruguay,Pando
rwan seco,99,2001-05-20,23,1.87,Brazil,Attack - Centre-Forward,right,2024-01-13,,adidas,973569,221,Brazil,Recife
walter,1,1987-11-18,36,1.88,Brazil,Goalkeeper,right,2022-01-01,2024-12-31,,269860,28022,Brazil,Jaú
bruno mezenga,0,1988-08-08,35,1.85,Brazil,Attack - Centre-Forward,left,2024-04-30,,,54044,221,Brazil,Niterói
raniel,11,1996-06-11,27,1.8,Brazil,Attack - Centre-Forward,right,2024-01-09,,adidas,349583,221,Brazil,Recife
marcos leonardo,36,2003-05-02,21,1.77,Brazil,Attack - Centre-Forward,right,2024-01-04,2029-06-30,Nike,668267,221,Brazil,Itapetinga
alfredo morelos,30,1996-06-21,27,1.77,Colombia,Attack - Centre-Forward,right,2023-09-04,2026-12-31,,338962,221,Colombia,Cereté
julio furch,9,1989-07-29,34,1.88,Argentina,Attack - Centre-Forward,right,2023-07-26,2025-06-30,,149393,221,Argentina,Winifreda
stiven mendoza,11,1992-06-27,31,1.71,Colombia,Attack - Left Winger,left,2024-02-06,2025-06-30,Nike,131101,221,Colombia,Palmira
angelo,23,2004-12-21,19,1.8,Brazil,Attack - Right Winger,left,2023-08-08,2024-06-30,adidas,743598,221,Brazil,Brasília
lucas barbosa,21,2001-02-22,23,1.94,Brazil,Attack - Right Winger,left,2024-01-03,2024-12-31,adidas,816144,221,Brazil,Bebedouro
weslley patati,42,2003-10-01,20,1.72,Brazil,Attack - Right Winger,left,2023-08-01,2026-12-31,Nike,959106,221,Brazil,Presidente Dutra
lucas braga,11,1996-11-10,27,1.84,Brazil,Attack - Left Winger,right,2024-01-01,2024-12-31,adidas,606850,221,Brazil,São Paulo
yeferson soteldo,7,1997-06-30,26,1.6,Venezuela,Attack - Left Winger,right,2024-01-01,2024-12-31,New Balance,312294,221,Venezuela,Acarigua
gabriel carabajal,11,1990-12-09,33,1.78,Argentina,Midfield - Attacking Midfield,right,2023-08-30,2024-06-30,adidas,280157,221,Argentina,Córdoba
balao,0,2003-01-07,21,,Brazil,Midfield - Central Midfield,,2024-03-01,2025-12-31,,887479,221,,
luan dias,10,1997-07-31,26,1.81,Brazil,Midfield - Attacking Midfield,left,2024-04-10,2024-12-31,,739218,221,Brazil,Santos
daniel ruiz rivera,18,2001-07-30,22,1.71,Colombia,Midfield - Attacking Midfield,left,2022-01-01,2025-12-31,adidas,650833,221,Colombia,Bogotá
camacho,0,1990-03-02,34,1.8,Brazil,Midfield - Central Midfield,right,2024-01-12,2024-11-30,adidas,97507,221,Brazil,Rio de Janeiro
ed carlos,0,2001-03-19,23,1.87,Brazil,Midfield - Central Midfield,left,2024-04-22,2024-07-31,adidas,624870,221,Brazil,São Paulo
lucas lima,19,1990-07-09,33,1.76,Brazil,Midfield - Attacking Midfield,left,2024-02-01,2024-12-31,adidas,232847,221,Brazil,Marília
miguelito,47,2004-04-25,20,1.77,Bolivia,Midfield - Attacking Midfield,left,2023-04-01,2027-06-30,adidas,1063811,221,Bolivia,Santa Cruz de la Sierra
ivonei,0,2002-04-16,22,1.75,Brazil,Midfield - Central Midfield,right,,2025-06-30,Nike,627232,221,Brazil,Rondonópolis
nonato,15,1998-03-03,26,1.75,Brazil,Midfield - Central Midfield,right,2024-01-13,2026-12-31,adidas,546172,221,Brazil,São Paulo
jean lucas,6,1998-06-22,25,1.81,Brazil,Midfield - Central Midfield,right,2024-01-11,2028-12-31,,578872,221,Brazil,Rio de Janeiro
tomas rincon,8,1988-01-13,36,1.75,Venezuela,Midfield - Defensive Midfield,right,2023-08-16,2026-12-31,,75942,221,Venezuela,San Cristóbal
rodrigo fernandez,5,1996-01-03,28,1.74,Uruguay,Midfield - Defensive Midfield,right,2024-01-27,2024-12-31,,458047,221,Uruguay,Montevideo
dodi,17,1996-04-17,28,1.69,Brazil,Midfield - Defensive Midfield,right,2024-01-01,2026-12-31,Nike,373174,221,Brazil,Santo Antônio do Sudoeste
alison,25,1993-03-01,31,1.82,Brazil,Midfield - Defensive Midfield,right,2023-02-10,2024-12-31,Nike,167825,221,Brazil,Itanhaém
zanocelo,7,2001-01-30,23,1.85,Brazil,Midfield - Central Midfield,right,2024-01-30,2024-12-31,Nike,646404,221,Brazil,Santo André
sandry,23,2002-08-30,21,1.7,Brazil,Midfield - Defensive Midfield,right,2019-07-01,2026-06-30,adidas,574768,221,Brazil,Itabuna
vinicius balieiro,17,1999-05-28,24,1.78,Brazil,Midfield - Defensive Midfield,right,2024-01-01,2025-12-31,Nike,813108,221,Brazil,Campinas
gabriel inocencio,12,1994-08-20,29,1.75,Brazil,Defender - Right-Back,right,2024-04-05,2024-12-31,,788402,221,Brazil,São Paulo
nathan,22,2001-09-05,22,1.83,Brazil,Defender - Right-Back,right,2023-08-08,2024-06-30,,740273,221,Brazil,Rio de Janeiro
junior caicara,0,1989-04-27,35,1.73,Brazil,Defender - Right-Back,right,2024-04-01,,,112062,221,Brazil,São Paulo
kevyson,38,2004-03-29,20,1.74,Brazil,Defender - Left-Back,left,2023-04-01,2026-12-31,,1032891,221,Brazil,Leopoldina
felipe jonatan,36,1998-02-15,26,1.76,Brazil,Defender - Left-Back,left,2024-04-17,2027-04-30,adidas,587786,221,Brazil,Fortaleza
pedrinho,26,2002-06-24,21,1.8,Brazil,Defender - Left-Back,left,,2024-06-30,,984094,221,Brazil,São Mateus
cadu,40,2002-02-21,22,1.72,Brazil,Defender - Right-Back,right,,2024-12-31,Nike,687678,221,Brazil,Matão
leonardo zabala,16,2002-05-23,21,1.88,Bolivia,Defender - Centre-Back,left,2024-01-01,2025-12-31,,661852,221,Bolivia,Santa Cruz de la Sierra
joaquim,6,1998-12-28,25,1.9,Brazil,Defender - Centre-Back,right,2023-02-05,2026-12-31,Nike,860857,221,Brazil,Muriaé
alex nascimento,2,1999-05-10,25,1.89,Brazil,Defender - Centre-Back,left,2019-05-01,2024-12-31,Nike,628223,221,Brazil,Ribeirão Preto
jair cunha,32,2005-03-07,19,1.98,Brazil,Defender - Centre-Back,both,2024-01-01,2025-06-30,,984096,221,Brazil,Orlândia
lucas pires,33,2001-03-24,23,1.82,Brazil,Defender - Left-Back,left,2023-07-25,2024-06-30,adidas,927768,221,Brazil,São Paulo
joao lucas,2,1998-03-09,26,1.81,Brazil,Defender - Right-Back,right,2024-01-11,2024-12-31,Nike,672292,221,Brazil,Belo Horizonte
joao basso,13,1997-01-13,27,1.87,Brazil,Defender - Centre-Back,right,2024-01-30,2024-06-30,,410183,221,Brazil,Curitiba
maicon,4,1988-09-14,35,1.91,Brazil,Defender - Centre-Back,right,2023-07-01,2024-12-31,Mizuno,84695,221,Brazil,Barretos
luiz felipe,0,1993-09-09,30,1.89,Brazil,Defender - Centre-Back,right,2023-08-01,2024-12-31,Mizuno,373150,221,Brazil,Tubarão
eduardo bauermann,0,1996-02-13,28,1.87,Brazil,Defender - Centre-Back,right,2023-09-08,,adidas,294804,221,Brazil,Estância Velha
diogenes,12,2001-01-06,23,1.9,Brazil,Goalkeeper,right,2021-07-01,2024-12-31,adidas,907359,221,Brazil,Itaperica da Serra
paulo mazoti,50,2000-07-11,23,1.88,Brazil,Goalkeeper,right,,2024-12-31,Puma,813111,221,Brazil,Ribeirão Pires
vladimir,89,1989-07-16,34,1.91,Brazil,Goalkeeper,right,2024-01-16,2024-12-31,adidas,98930,221,Brazil,Ipiaú
cadu,42,2004-05-24,19,1.88,Brazil,Attack - Centre-Forward,right,2023-01-01,2027-12-31,,1083073,330,Brazil,Divinópolis
alan kardec,14,1989-01-12,35,1.9,Brazil,Attack - Centre-Forward,right,2022-07-18,2024-12-31,Nike,53922,330,Brazil,Barra Mansa
eduardo sasha,19,1992-02-24,32,1.73,Brazil,Attack - Centre-Forward,right,2023-03-31,2025-12-31,adidas,162883,330,Brazil,Porto Alegre
isaac,41,2004-03-26,20,1.85,Brazil,Attack - Centre-Forward,both,2023-02-01,2028-12-31,,1083069,330,Brazil,Governador Valadares
eduardo vargas,11,1989-11-20,34,1.74,Chile,Attack - Centre-Forward,right,2020-11-09,2024-12-31,Nike,89718,330,Chile,Renca
alisson,45,2005-09-21,18,1.83,Brazil,Attack - Right Winger,left,2024-01-01,2027-12-31,Nike,1083070,330,Brazil,Cachoeirinha
ademir,7,1995-02-16,29,1.72,Brazil,Attack - Right Winger,left,2023-04-01,2025-12-31,Nike,544259,330,Brazil,São Paulo
hulk,7,1986-07-25,37,1.8,Brazil,Attack - Centre-Forward,left,2021-02-10,2026-12-31,adidas,80562,330,Brazil,Campina Grande
joao paulo,1,1995-06-29,28,1.88,Brazil,Goalkeeper,right,2014-07-01,2027-12-31,Puma,275412,221,Brazil,Dourados
cristian pavon,21,1996-01-21,28,1.74,Argentina,Attack - Left Winger,right,2024-02-16,2026-12-31,adidas,373170,330,Argentina,Anisacate
calebe,10,2000-04-30,24,1.73,Brazil,Midfield - Attacking Midfield,left,2023-02-05,2026-12-31,Nike,798114,330,Brazil,Monte Azul
paulinho,10,2000-07-15,23,1.77,Brazil,Attack - Left Winger,right,2023-07-01,2026-12-31,Nike,428791,330,Brazil,Rio de Janeiro
hyoran,7,1993-05-25,30,1.74,Brazil,Midfield - Attacking Midfield,right,2024-01-08,2026-12-31,adidas,338861,330,Brazil,Chapecó
igor gomes,17,1999-03-17,25,1.83,Brazil,Midfield - Attacking Midfield,right,2023-01-01,2026-12-31,adidas,553459,330,Brazil,São José do Rio Preto
matias zaracho,15,1998-03-10,26,1.71,Argentina,Midfield - Attacking Midfield,right,2020-10-21,2025-12-31,,480774,330,Argentina,Wilde
alan franco,23,1998-08-21,25,1.74,Ecuador,Midfield - Central Midfield,right,2020-07-17,2025-12-31,adidas,400960,330,Ecuador,Alfredo Baquerizo Moreno
pedrinho,38,1998-04-13,26,1.72,Brazil,Attack - Right Winger,left,2022-07-18,2024-06-30,Nike,515208,330,Brazil,Maceió
edenilson,15,1989-12-18,34,1.75,Brazil,Midfield - Central Midfield,right,2024-04-19,2025-12-31,adidas,169052,330,Brazil,Porto Alegre
paulo vitor,27,2004-08-26,19,1.84,Brazil,Midfield - Defensive Midfield,right,2024-02-01,2027-12-31,,1116366,330,Brazil,Junqueirópolis
patrick,88,1992-07-29,31,1.76,Brazil,Midfield - Central Midfield,left,2024-04-19,2026-12-31,Puma,333159,330,Brazil,Rio de Janeiro
rodrigo battaglia,21,1991-07-12,32,1.87,Argentina,Midfield - Defensive Midfield,right,2023-04-01,2025-12-31,Nike,89297,330,Argentina,Morón
allan,21,1997-03-03,27,1.72,Brazil,Midfield - Defensive Midfield,left,2023-07-01,2027-12-31,Nike,385271,330,Brazil,Porto Alegre
paulo henrique,96,1996-07-25,27,1.75,Brazil,Defender - Right-Back,right,2024-01-01,2027-12-31,adidas,412594,330,Brazil,Pariquera-Açu
otavio,5,1994-05-04,30,1.73,Brazil,Midfield - Defensive Midfield,right,2022-07-01,2026-06-30,adidas,312314,330,Brazil,Maceió
vitor gabriel,50,2006-03-11,18,1.76,Brazil,Defender - Right-Back,right,2024-01-01,2027-12-31,,1005006,330,Brazil,Belo Horizonte
mariano,25,1986-06-23,37,1.77,Brazil,Defender - Right-Back,right,2020-07-31,2024-12-31,Nike,54155,330,Brazil,São João
renzo saravia,26,1993-06-16,30,1.78,Argentina,Defender - Right-Back,right,2023-02-16,2025-12-31,Nike,268642,330,Argentina,Villa de María
dodo,16,1992-02-06,32,1.77,Brazil,Defender - Left-Back,left,2023-07-10,2025-12-31,Nike,109038,330,Brazil,Campinas
guilherme arana,13,1997-04-14,27,1.76,Brazil,Defender - Left-Back,left,2021-07-01,2027-12-31,Nike,346766,330,Brazil,São Paulo
romulo,0,2004-01-31,20,1.83,Brazil,Defender - Centre-Back,right,,,Puma,743588,330,Brazil,Belo Horizonte
mauricio lemos,4,1995-12-28,28,1.87,Uruguay,Defender - Centre-Back,right,2023-02-16,2025-12-31,Nike,303140,330,Uruguay,Rivera
rubens,44,2001-06-21,22,1.78,Brazil,Defender - Left-Back,left,2022-01-01,2027-12-31,adidas,843397,330,Brazil,Tumiritinga
bruno fuchs,3,1999-04-01,25,1.9,Brazil,Defender - Centre-Back,right,2023-01-01,2024-12-31,Nike,563692,330,Brazil,Ponta Grossa
jemerson,34,1992-08-24,31,1.84,Brazil,Defender - Centre-Back,right,2022-07-18,2024-12-31,Nike,258254,330,Brazil,Jeremoabo
rever,0,1985-01-04,39,1.92,Brazil,Defender - Centre-Back,right,2024-01-01,,Nike,72489,330,Brazil,Ariranha
igor rabello,16,1995-04-28,29,1.9,Brazil,Defender - Centre-Back,right,2019-01-01,2025-12-31,Puma,341701,330,Brazil,Rio de Janeiro
nathan silva,6,1997-05-06,27,1.83,Brazil,Defender - Centre-Back,right,2023-07-01,2027-06-30,Nike,440652,330,Brazil,Oliveira
everson,22,1990-07-22,33,1.92,Brazil,Goalkeeper,right,2020-09-11,2025-12-31,Puma,106032,330,Brazil,Pindamonhangaba
juan,31,2002-03-07,22,1.77,Brazil,Attack - Centre-Forward,right,2022-01-01,2024-12-31,adidas,662332,585,Brazil,São Paulo
luciano,10,1993-05-18,31,1.81,Brazil,Attack - Centre-Forward,left,2020-08-19,2026-12-31,Nike,223560,585,Brazil,Anápolis
matheus mendes,31,1999-03-10,25,1.91,Brazil,Goalkeeper,both,2020-01-26,2026-12-31,Nike,629077,330,Brazil,Governardor Valadares
gabriel delfim,1,2002-07-10,21,1.89,Brazil,Goalkeeper,left,2023-01-01,2026-12-31,,978121,330,Brazil,Simonésia
jonathan calleri,9,1993-09-23,30,1.81,Argentina,Attack - Centre-Forward,right,2022-07-25,2026-12-31,adidas,284727,585,Argentina,Buenos Aires
wellington rato,27,1992-06-18,31,1.72,Brazil,Attack - Right Winger,left,2023-01-01,2026-12-31,Nike,542483,585,Brazil,Japeri
lucas moura,7,1992-08-13,31,1.72,Brazil,Attack - Right Winger,right,2023-08-02,2026-12-31,adidas,77100,585,Brazil,São Paulo
alexandre pato,0,1989-09-02,34,1.8,Brazil,Attack - Centre-Forward,right,2024-01-01,,,37579,585,Brazil,Pato Branco
william gomes,39,2006-03-15,18,1.71,Brazil,Attack - Left Winger,left,2024-01-01,2026-06-30,,1004725,585,Brazil,Aracaju
caio matheus,0,2004-02-19,20,1.74,Brazil,Attack - Left Winger,right,2021-01-01,2025-12-31,Nike,963727,585,Brazil,Limeira
giuliano galoppo,8,1999-06-18,24,1.79,Argentina,Midfield - Attacking Midfield,right,2022-07-26,2027-06-30,adidas,567249,585,Argentina,Buenos Aires
marcos paulo,0,2001-02-01,23,1.86,Portugal,Attack - Left Winger,right,2021-07-01,2026-06-30,Nike,612496,585,Brazil,São Gonçalo
david,7,1995-10-17,28,1.79,Brazil,Attack - Left Winger,right,2024-01-11,2024-12-31,Nike,373189,585,Brazil,Vitória
james rodriguez,55,1991-07-12,32,1.8,Colombia,Midfield - Attacking Midfield,left,2023-07-29,2025-06-30,adidas,88103,585,Colombia,Cúcuta
pedrinho,7,1999-11-10,24,1.76,Brazil,Attack - Left Winger,right,2024-01-11,2024-12-31,Nike,538978,585,Brazil,São Paulo
vinicius,15,2002-09-23,21,,Brazil,Midfield - Central Midfield,right,2023-09-01,2026-06-30,,1082804,585,,
rodriguinho,18,2004-03-16,20,1.85,Brazil,Midfield - Central Midfield,right,2022-07-07,2026-12-31,Nike,743593,585,Brazil,Mineiros
pedro vilhena,17,2002-02-18,22,1.75,Brazil,Midfield - Central Midfield,right,2024-01-01,2024-12-31,,729263,585,Brazil,São Paulo
rodrigo nestor,11,2000-08-09,23,1.75,Brazil,Midfield - Central Midfield,left,2020-01-01,2028-06-30,adidas,468304,585,Brazil,São Paulo
alisson,25,1993-06-25,30,1.74,Brazil,Midfield - Central Midfield,right,2022-01-21,2024-12-31,adidas,229736,585,Brazil,Rio Pomba
talles costa,37,2002-08-02,21,1.76,Brazil,Midfield - Central Midfield,right,2024-02-04,2027-12-31,Nike,627222,585,Brazil,São Paulo
felipe negrucci,46,2004-05-04,20,1.79,Brazil,Midfield - Defensive Midfield,right,2023-05-01,2026-06-30,,980837,585,Brazil,Limeira
pablo maia,29,2002-01-10,22,1.78,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2027-12-31,Puma,892089,585,Brazil,Brazópolis
jhegson mendez,3,1997-04-26,27,1.8,Ecuador,Midfield - Defensive Midfield,right,2024-02-01,2024-06-30,Nike,330682,585,Ecuador,Mira
liziero,28,1998-02-07,26,1.77,Brazil,Midfield - Central Midfield,left,2023-09-06,2024-06-30,,401526,585,Brazil,Jales
gabriel neves,8,1997-08-11,26,1.71,Uruguay,Midfield - Defensive Midfield,right,2024-01-20,2024-12-31,Nike,454181,585,Uruguay,Maldonado
joao moreira,30,2004-05-21,20,1.75,Brazil,Defender - Right-Back,right,2022-02-01,2027-06-30,adidas,929866,585,Brazil,São Paulo
luan santos,8,1999-05-14,25,1.75,Brazil,Midfield - Defensive Midfield,right,2024-03-07,2024-12-31,Nike,574904,585,Brazil,São Paulo
luis orejuela,28,1995-08-20,28,1.8,Colombia,Defender - Right-Back,right,2023-08-02,2024-06-30,Nike,331057,585,Colombia,Santiago de Cali
rai ramos,2,1994-05-06,30,1.79,Brazil,Defender - Right-Back,right,2024-01-01,2024-12-31,Nike,439460,585,Brazil,Japorã
igor vinicius,2,1997-04-01,27,1.74,Brazil,Defender - Right-Back,right,2020-01-01,2025-12-31,adidas,552240,585,Brazil,Sinop
nathan mendes,45,2002-08-19,21,1.82,Brazil,Defender - Right-Back,right,2024-01-11,2028-12-31,adidas,887801,585,Brazil,Caçapava
patryck,36,2003-01-18,21,1.84,Brazil,Defender - Left-Back,left,2023-01-01,2027-06-30,,662326,585,Brazil,Mogi Mirim
rafinha,13,1985-09-07,38,1.72,Brazil,Defender - Right-Back,right,2022-01-19,2024-12-31,adidas,33947,585,Brazil,Londrina
